,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
138,43.976,17.16,308.6,1.0,1.0,2021-07-14,01:00,A,22,6.1NRT,289.9,8.5,N
139,43.978,17.147,311.5,1.0,1.0,2021-07-14,01:00,A,27,6.1NRT,289.1,10.1,N
140,41.248,13.551,310.3,1.0,1.0,2021-07-14,01:00,A,80,6.1NRT,292.2,10.5,N
141,42.174,14.054,305.0,1.0,1.0,2021-07-14,01:00,A,55,6.1NRT,289.0,6.7,N
142,42.186,14.032,306.5,1.0,1.0,2021-07-14,01:00,A,61,6.1NRT,291.2,6.8,N
143,31.704,5.82,316.5,1.9,1.3,2021-07-14,01:05,A,93,6.1NRT,299.1,31.0,N
144,31.664,6.063,314.8,1.8,1.3,2021-07-14,01:05,A,90,6.1NRT,300.1,24.5,N
145,29.237,19.705,305.2,2.5,1.5,2021-07-14,01:05,A,63,6.1NRT,292.6,23.3,N
146,36.871,6.978,300.8,1.9,1.3,2021-07-14,01:05,A,34,6.1NRT,290.2,11.2,N
147,31.701,5.813,321.4,1.9,1.3,2021-07-14,01:05,A,100,6.1NRT,299.2,42.8,N
148,29.23,19.696,303.1,2.5,1.5,2021-07-14,01:05,A,53,6.1NRT,292.7,17.4,N
149,28.912,19.783,319.7,2.5,1.5,2021-07-14,01:05,A,99,6.1NRT,294.2,66.0,N
150,28.919,19.779,308.1,2.5,1.5,2021-07-14,01:05,A,74,6.1NRT,293.7,31.6,N
151,28.905,19.775,308.4,2.5,1.5,2021-07-14,01:05,A,74,6.1NRT,293.6,32.5,N
152,28.738,9.791,312.1,1.1,1.0,2021-07-14,01:05,A,84,6.1NRT,294.0,11.8,N
153,28.635,7.62,307.8,1.3,1.1,2021-07-14,01:05,A,73,6.1NRT,294.9,9.2,N
154,27.77,9.194,304.8,1.1,1.0,2021-07-14,01:05,A,61,6.1NRT,293.3,6.5,N
155,27.762,9.198,305.3,1.1,1.0,2021-07-14,01:05,A,64,6.1NRT,292.8,6.7,N
156,26.76,12.418,310.6,1.0,1.0,2021-07-14,01:05,A,80,6.1NRT,296.4,10.6,N
157,6.017,5.866,306.8,1.0,1.0,2021-07-14,01:10,A,69,6.1NRT,287.6,7.2,N
158,-6.347,11.162,307.3,2.7,1.6,2021-07-14,01:15,A,53,6.1NRT,292.3,30.7,N
159,-25.022,-42.673,311.7,1.1,1.0,2021-07-14,01:25,T,76,6.1NRT,292.0,10.9,N
160,-25.204,-42.879,311.9,1.1,1.0,2021-07-14,01:25,T,77,6.1NRT,292.1,11.3,N
161,-25.802,-43.26,305.7,1.1,1.1,2021-07-14,01:25,T,36,6.1NRT,292.7,6.9,N
